                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.55812,                0.34413,                 1.0057,                0.95602,                 0.9522,                0.97844,                 0.8382,                0.64746,                0.33804,                0.94947,               0.003268,               0.003268,               0.003268
                     70,                 0.5616,                0.34577,                 1.0062,                0.95633,                0.95411,                0.97872,                0.83802,                0.64727,                0.33826,                0.94957,               0.003169,               0.003169,               0.003169
                     71,                0.55912,                0.34576,                 1.0056,                  0.954,                0.95201,                0.97869,                0.83849,                0.64508,                0.33753,                0.94876,                0.00307,                0.00307,                0.00307
                     72,                0.55231,                0.33489,                 1.0014,                0.95656,                0.95043,                 0.9788,                0.83826,                0.64421,                0.33643,                0.94788,               0.002971,               0.002971,               0.002971
                     73,                0.54551,                0.33348,                0.99945,                0.95709,                0.94951,                0.97875,                0.83933,                  0.643,                0.33571,                0.94769,               0.002872,               0.002872,               0.002872
                     74,                0.54216,                0.33075,                0.99955,                0.95957,                0.94618,                0.97886,                0.83911,                0.64238,                0.33388,                 0.9476,               0.002773,               0.002773,               0.002773
                     75,                0.54148,                0.32796,                0.99864,                0.95959,                0.94609,                0.97872,                0.83976,                0.64154,                0.33238,                0.94725,               0.002674,               0.002674,               0.002674
                     76,                0.53471,                0.32252,                0.99614,                0.96059,                0.94619,                0.97875,                0.83945,                0.64115,                0.33149,                0.94743,               0.002575,               0.002575,               0.002575
                     77,                 0.5336,                0.32076,                0.99319,                0.95728,                0.94897,                0.97877,                0.84027,                0.64145,                0.33099,                0.94769,               0.002476,               0.002476,               0.002476
                     78,                0.52577,                0.31861,                0.99116,                0.95676,                0.94806,                0.97875,                0.84016,                0.64154,                0.33023,                0.94793,               0.002377,               0.002377,               0.002377
                     79,                0.52283,                0.31551,                0.99089,                0.95806,                0.94662,                0.97901,                0.84012,                0.64139,                0.32988,                0.94791,               0.002278,               0.002278,               0.002278
                     80,                0.52042,                0.31788,                0.99119,                0.95921,                0.94605,                0.97917,                0.84051,                0.64092,                0.32913,                0.94773,               0.002179,               0.002179,               0.002179
                     81,                0.51467,                0.31005,                0.98622,                0.96072,                0.94603,                0.97911,                 0.8401,                0.64102,                0.32864,                0.94768,                0.00208,                0.00208,                0.00208
                     82,                0.51305,                0.30858,                0.98651,                 0.9602,                0.94766,                0.97952,                0.84086,                0.64073,                0.32846,                0.94758,               0.001981,               0.001981,               0.001981
                     83,                0.50442,                0.30464,                0.98403,                0.95971,                0.94838,                0.97956,                0.84138,                0.64064,                0.32768,                0.94744,               0.001882,               0.001882,               0.001882
                     84,                0.50107,                0.30179,                0.98305,                0.96097,                0.94861,                0.97952,                0.84213,                0.64047,                0.32754,                0.94755,               0.001783,               0.001783,               0.001783
                     85,                0.50028,                0.29855,                0.98141,                0.96053,                0.94885,                0.97951,                0.84175,                0.64065,                0.32661,                0.94772,               0.001684,               0.001684,               0.001684
                     86,                0.49506,                0.29518,                0.98115,                 0.9603,                0.94888,                0.97937,                0.84222,                0.64049,                0.32626,                0.94778,               0.001585,               0.001585,               0.001585
                     87,                 0.4925,                0.29472,                0.98026,                0.96033,                 0.9495,                0.97916,                0.84235,                0.64018,                0.32628,                0.94762,               0.001486,               0.001486,               0.001486
                     88,                0.48803,                0.29123,                0.97726,                0.95942,                0.94906,                 0.9789,                 0.8425,                0.63946,                0.32647,                0.94749,               0.001387,               0.001387,               0.001387
                     89,                0.48066,                0.28609,                0.97558,                0.95958,                0.94914,                0.97892,                0.84209,                0.63998,                0.32621,                0.94798,               0.001288,               0.001288,               0.001288
